,id,Nombre Episodio,runtime,Fecha,Tipo,Id Serie,Rating
1691,1987307,Spring 1920: Henry Ford and the Mass Marketing of Hatred,18.0,2020-12-17,regular,49353.0,
1692,1982908,Mamma blir en del av Musejentene,18.0,2020-12-17,regular,50157.0,
1693,2004375,Senator Cory Booker,30.0,2020-12-17,regular,50586.0,
1694,2005418,Surf and turf på västkusten,44.0,2020-12-17,regular,52082.0,
1695,1976096,Episode 23,45.0,2020-12-17,regular,52105.0,
1696,1976097,Episode 24,45.0,2020-12-17,regular,52105.0,
1697,1985471,Episode 15,45.0,2020-12-17,regular,52421.0,
1698,1985472,Episode 16,45.0,2020-12-17,regular,52421.0,
1699,1985695,Coronavirus: The Pandemic Unmasked Our Pitiful Politicians,17.0,2020-12-17,regular,52435.0,10.0
1700,1985696,"Conspiracy Theories: Predators, Presidents, and Epstein's ""Suicide""",,2020-12-17,regular,52435.0,
1701,1985697,"Black Lives Matter: Protests, Police, and Hollywood Hypocrites",,2020-12-17,regular,52435.0,
1702,1985698,A Nation Divided: Crybaby Cooper and Tantruming Tucker are Tearing the Country in Two,,2020-12-17,regular,52435.0,
1703,1988403,I kissed my handsome guy friend at school,7.0,2020-12-17,regular,52537.0,
1704,1990901,Hush Hush,51.0,2020-12-17,regular,52608.0,
1705,1997516,Episode 9,45.0,2020-12-17,regular,52743.0,
1706,1997517,Episode 10,45.0,2020-12-17,regular,52743.0,
1707,2000060,Episode 13,45.0,2020-12-17,regular,52806.0,
1708,2000061,Episode 14,45.0,2020-12-17,regular,52806.0,
1709,2011355,When I realize my ex-boyfriend is dumb,18.0,2020-12-17,regular,53009.0,
1710,2035874,Prisoner,30.0,2020-12-17,regular,53698.0,
1711,2125347,EP.29 with Kim Jong Kook,12.0,2020-12-17,regular,56253.0,
1712,2149148,The Last Photo,15.0,2020-12-17,regular,56848.0,
1713,2197285,Sweet on You,20.0,2020-12-17,regular,58367.0,
1714,2251369,أمراض مفيدة,8.0,2020-12-17,regular,59853.0,
1715,2289323,Blippi Visits The Horse And Reindeer Farm | Animals For Kids,,2020-12-17,regular,60848.0,
1716,2289378,Blippi Visits The Horse And Reindeer Farm | Animals For Kids,,2020-12-17,regular,60848.0,
1717,1973895,Holiday at Hooper's,30.0,2020-12-17,regular,6544.0,
1718,1991537,Eucanaã Ferra,,2020-12-17,regular,36813.0,
1719,1964393,Cinco Historias,30.0,2020-12-17,regular,51742.0,
1720,1987664,"Terra Firma, Part 2",32.0,2020-12-17,regular,44249.0,
1721,2036954,Main Event 429,60.0,2020-12-17,regular,16753.0,
1722,1974793,Puddle and the King Chapter 1: Honey Moondog,12.0,2020-12-17,regular,26643.0,
1723,1974794,Puddle and the King Chapter 2:Royally Bored,12.0,2020-12-17,regular,26643.0,
1724,1974795,Puddle and the King Chapter 3: All the King's Slides,12.0,2020-12-17,regular,26643.0,
1725,1989330,Brad Restores Oyster Reefs,15.0,2020-12-17,regular,40195.0,
1726,1988001,Unwrapped,50.0,2020-12-17,insignificant_special,45470.0,
1727,1980779,Drinking My Scotch,43.0,2020-12-17,regular,46668.0,
1728,1950701,The Rivalry,38.0,2020-12-17,regular,51316.0,
1729,1962891,Something About AJ,34.0,2020-12-17,regular,51706.0,
1730,2008333,We're Just Hanging Out,25.0,2020-12-17,regular,51899.0,
1731,2236493,Abistreich,45.0,2020-12-17,regular,17046.0,
1732,1977415,Aflevering 6319,23.0,2020-12-17,regular,2504.0,
1733,1976647,Episode 51,60.0,2020-12-17,regular,39053.0,
1734,2041990,Titan FC 66: Assis vs. Holloway,120.0,2020-12-17,regular,16665.0,
1735,2008338,Living Under Lockdown,60.0,2020-12-17,insignificant_special,40633.0,
1736,1968114,Выпуск 305,9.0,2020-12-18,regular,7847.0,
1737,1961005,Серия 14,23.0,2020-12-18,regular,48402.0,
1738,1989253,7 выпуск,23.0,2020-12-18,regular,48403.0,
1739,1988013,Серия 2,29.0,2020-12-18,regular,52520.0,
1740,2030153,Episode 124,10.0,2020-12-18,regular,20734.0,
1741,1972569,Episode 27,45.0,2020-12-18,regular,47912.0,
1742,1972570,Episode 28,45.0,2020-12-18,regular,47912.0,
1743,1910448,Escape,5.0,2020-12-18,regular,49485.0,
1744,1998583,Episode 11,45.0,2020-12-18,regular,52782.0,
1745,1998584,Episode 12,45.0,2020-12-18,regular,52782.0,
1746,2013868,Episode 4,45.0,2020-12-18,regular,53072.0,
1747,2071485,PEOPLE FROM THE STORY #07,7.0,2020-12-18,regular,54762.0,
1748,2071486,PEOPLE FROM THE STORY #08,7.0,2020-12-18,regular,54762.0,
1749,2082176,第133集,10.0,2020-12-18,regular,55016.0,
1750,2080226,Episode 64,10.0,2020-12-18,regular,55019.0,
1751,1944257,Julen II,9.0,2020-12-18,significant_special,38732.0,
1752,1976710,"Macho, men ...",20.0,2020-12-18,regular,49907.0,
1753,1977326,Episode 18,20.0,2020-12-18,regular,50752.0,
1754,1990236,Rashatal,25.0,2020-12-18,regular,52582.0,
1755,1990237,Radbadal,25.0,2020-12-18,regular,52582.0,
1756,1990238,Ranakhetra,25.0,2020-12-18,regular,52582.0,
1757,1990239,Gandham,25.0,2020-12-18,regular,52582.0,
1758,1990240,Barafkal,25.0,2020-12-18,regular,52582.0,
1759,1990241,Barkhelap,25.0,2020-12-18,regular,52582.0,
1760,1990242,Prayeshchitto,25.0,2020-12-18,regular,52582.0,
1761,1990243,Pulsirat,25.0,2020-12-18,regular,52582.0,
1762,1990503,Boom!,39.0,2020-12-18,regular,52593.0,
1763,1990504,"Freedom, Life, and Choices",35.0,2020-12-18,regular,52593.0,
1764,1990505,Teddy Bear,34.0,2020-12-18,regular,52593.0,
1765,1990506,The Killer,35.0,2020-12-18,regular,52593.0,
1766,1990508,Finding Love,32.0,2020-12-18,regular,52593.0,
1767,1990509,No More a Victim,36.0,2020-12-18,regular,52593.0,
1768,1990510,The Deal,33.0,2020-12-18,regular,52593.0,
1769,1990511,Purple Moments,36.0,2020-12-18,regular,52593.0,
1770,1990512,Jatin Must Die,30.0,2020-12-18,regular,52593.0,
1771,1990513,Crossroads,39.0,2020-12-18,regular,52593.0,
1772,1990514,Flash Drive,33.0,2020-12-18,regular,52593.0,
1773,1990515,Love and Death,38.0,2020-12-18,regular,52593.0,
1774,2132710,Bharatiya Trolling,,2020-12-18,regular,56433.0,
1775,1924890,83. Допрыгаешься!,25.0,2020-12-18,regular,38171.0,
1776,2037533,Esra Ruşan,28.0,2020-12-18,regular,53759.0,
1777,1985248,Episode 4,23.0,2020-12-18,regular,52413.0,
1778,1971946,Program 8 - del 1,44.0,2020-12-18,regular,11502.0,
1779,1971947,Program 8 - del 2,24.0,2020-12-18,regular,11502.0,
1780,1984180,Si noe,13.0,2020-12-18,regular,44057.0,
1781,1980928,Santiago,50.0,2020-12-18,regular,44664.0,
1782,1984851,Episode 5,19.0,2020-12-18,regular,46278.0,
1783,1984757,"Episode 193: Kjendisåret, julekaraoke og «Hjem til jul»-avsløring",17.0,2020-12-18,regular,46395.0,
1784,1982659,"""E""",48.0,2020-12-18,regular,52285.0,
1785,1986887,Amor y odio,55.0,2020-12-18,regular,52455.0,
1786,1990230,Sjukhusmysteriet,42.0,2020-12-18,regular,52571.0,
1787,1990231,Kärleksmysteriet,42.0,2020-12-18,regular,52571.0,
1788,1999326,Martelkamers Van De Onderwereld,40.0,2020-12-18,regular,52800.0,
1789,2153837,Odd slutter,9.0,2020-12-18,regular,57029.0,
1790,2153838,Bo vil ha muskler,8.0,2020-12-18,regular,57029.0,
1791,2153839,Odds julelotteri,8.0,2020-12-18,regular,57029.0,
1792,2153840,Bo vil ha lus,8.0,2020-12-18,regular,57029.0,
1793,1980396,"December 18, 2020 - Hour 1",120.0,2020-12-18,regular,15250.0,
1794,1980397,"December 18, 2020 - Hour 2",120.0,2020-12-18,regular,15250.0,
1795,2055883,Scout Noms,1.0,2020-12-18,regular,19111.0,
1796,2013053,Santa's Phone,11.0,2020-12-18,regular,21035.0,
1797,2176135,"Cheap, Fast, Easy, AND Accurate? New COVID Test Might Do it All | SciShow News",,2020-12-18,regular,30606.0,
1798,1985332,Neue Galaxien,25.0,2020-12-18,regular,35420.0,
1799,1949636,Chapter 16: The Rescue,44.0,2020-12-18,regular,38963.0,9.2
1800,1988000,"Николай Дроздов: о Gucci, крокодилах, смысле любви и преемнике",63.0,2020-12-18,regular,39890.0,
1801,1969214,La conjura,72.0,2020-12-18,regular,41067.0,7.7
1802,1984210,Ordalía,53.0,2020-12-18,regular,41067.0,7.6
1803,1984211,Baraka,51.0,2020-12-18,regular,41067.0,7.8
1804,1984212,Campeador,57.0,2020-12-18,regular,41067.0,7.8
1805,1984213,Expiación,59.0,2020-12-18,regular,41067.0,7.8
1806,1967023,"Elsker, elsker ikke",32.0,2020-12-18,regular,41489.0,7.7
1807,1985580,Søt hevn,25.0,2020-12-18,regular,41489.0,7.7
1808,1985581,Fanget av fortiden,28.0,2020-12-18,regular,41489.0,8.3
1809,1985582,Julespeeddate,26.0,2020-12-18,regular,41489.0,8.3
1810,1985583,Den perfekte date,35.0,2020-12-18,regular,41489.0,7.7
1811,1985584,Julekaos,31.0,2020-12-18,regular,41489.0,8.3
1812,1984710,Episode 3,14.0,2020-12-18,regular,41500.0,
1813,1986252,Alternate Universe Snacks Taste Test,,2020-12-18,regular,41611.0,
1814,2062407,DR,15.0,2020-12-18,regular,44117.0,
1815,2062408,New Beginnings,15.0,2020-12-18,regular,44117.0,
1816,2062409,Suspicions,15.0,2020-12-18,regular,44117.0,
1817,2062410,Flirtations & Dates,15.0,2020-12-18,regular,44117.0,
1818,2062411,Happy Hour,15.0,2020-12-18,regular,44117.0,
1819,2062412,Happy Hour,15.0,2020-12-18,regular,44117.0,
1820,2062413,Truth Be Told,15.0,2020-12-18,regular,44117.0,
1821,2062414,Closure,15.0,2020-12-18,regular,44117.0,
1822,2062415,The Proposal,15.0,2020-12-18,regular,44117.0,
1823,2062416,Finally,15.0,2020-12-18,regular,44117.0,
1824,1973986,Episode 1,50.0,2020-12-18,regular,46570.0,9.2
1825,1973987,Episode 2,57.0,2020-12-18,regular,46570.0,9.3
1826,1973988,Episode 3,46.0,2020-12-18,regular,46570.0,9.7
1827,1973989,Episode 4,47.0,2020-12-18,regular,46570.0,9.3
1828,1973990,Episode 5,45.0,2020-12-18,regular,46570.0,9.3
1829,1973991,Episode 6,54.0,2020-12-18,regular,46570.0,9.3
1830,1973992,Episode 7,49.0,2020-12-18,regular,46570.0,9.3
1831,1973993,Episode 8,53.0,2020-12-18,regular,46570.0,9.3
1832,1973994,Episode 9,55.0,2020-12-18,regular,46570.0,9.7
1833,1973995,Episode 10,59.0,2020-12-18,regular,46570.0,9.7
1834,1969489,Beyond The,24.0,2020-12-18,regular,48396.0,7.0
1835,1987977,Allied CCoS,13.0,2020-12-18,significant_special,49147.0,
1836,1982905,Karriere,19.0,2020-12-18,regular,50065.0,
1837,1988125,Language Change and Historical Linguistics,13.0,2020-12-18,regular,50338.0,
1838,1940041,Supermarket Scramble,8.0,2020-12-18,regular,50402.0,
1839,1940036,Just the Four of Us,8.0,2020-12-18,regular,50402.0,
1840,1976945,Disillusioned High School Political Edition,17.0,2020-12-18,regular,50561.0,
1841,1988026,Digga D,6.0,2020-12-18,regular,51136.0,
1842,1987955,Chicken Ranch (Clerkenwell),4.0,2020-12-18,regular,51149.0,
1843,1964572,Episode 11,23.0,2020-12-18,regular,51337.0,
1844,1992735,The Labyrinth,9.0,2020-12-18,regular,51463.0,
1845,1967697,Getting In,52.0,2020-12-18,regular,51836.0,
1846,1988120,Casting & Competition,47.0,2020-12-18,regular,51836.0,
1847,1988121,Practice Makes Perfect,42.0,2020-12-18,regular,51836.0,
1848,1988122,Sacrifice & Support,39.0,2020-12-18,regular,51836.0,
1849,1988123,Stepping Up,40.0,2020-12-18,regular,51836.0,
1850,1988124,Showtime!,52.0,2020-12-18,regular,51836.0,
1851,1999316,Peru: A Trilha Inca,,2020-12-18,regular,51851.0,
1852,1982920,"Voi, voi",20.0,2020-12-18,regular,51915.0,
1853,1984160,Special Live Episode,30.0,2020-12-18,significant_special,51966.0,
1854,1974821,Episode 5,12.0,2020-12-18,regular,51971.0,9.5
1855,1974822,Episode 6,12.0,2020-12-18,regular,51971.0,9.5
1856,1977871,Episódio 5,60.0,2020-12-18,regular,52165.0,
1857,1978799,#YourHomeKwekKwek,22.0,2020-12-18,regular,52196.0,7.5
1858,1985202,The Reason We Should Break Up,14.0,2020-12-18,regular,52412.0,
1859,1985311,Episode 7,50.0,2020-12-18,regular,52415.0,
1860,1985312,Episode 8,50.0,2020-12-18,regular,52415.0,
1861,1985473,Episode 17,45.0,2020-12-18,regular,52421.0,
1862,1985474,Episode 18,45.0,2020-12-18,regular,52421.0,
1863,1986159,Episode 9,45.0,2020-12-18,regular,52451.0,
1864,1986160,Episode 10,45.0,2020-12-18,regular,52451.0,
1865,1986161,Episode 11,45.0,2020-12-18,regular,52451.0,
1866,1986162,Episode 12,45.0,2020-12-18,regular,52451.0,
1867,1986163,Episode 13,45.0,2020-12-18,regular,52451.0,
1868,1986164,Episode 14,45.0,2020-12-18,regular,52451.0,
1869,1987980,Creating Zach's World,,2020-12-18,regular,52519.0,
1870,1994099,Viana - O Clube,45.0,2020-12-18,regular,52662.0,
1871,1997518,Episode 11,45.0,2020-12-18,regular,52743.0,
1872,1997519,Episode 12,45.0,2020-12-18,regular,52743.0,
1873,2000062,Episode 15,45.0,2020-12-18,regular,52806.0,
1874,2000063,Episode 16,45.0,2020-12-18,regular,52806.0,
1875,2039437,Episode 1,45.0,2020-12-18,regular,53811.0,
1876,2039438,Episode 2,45.0,2020-12-18,regular,53811.0,
1877,2092354,Episode 3,45.0,2020-12-18,regular,53811.0,
1878,2108543,Episode 4,45.0,2020-12-18,regular,53811.0,
1879,2116166,Episode 5,45.0,2020-12-18,regular,53811.0,
1880,2120378,Episode 6,45.0,2020-12-18,regular,53811.0,
1881,2122277,Episode 7,45.0,2020-12-18,regular,53811.0,
1882,2051984,Николай Цискаридзе-PRO-БАЛЕТ-выпуск#23-СПЯЩАЯ КРАСАВИЦА-русская версия-PRO-BALLET-part#23-SleepingB,24.0,2020-12-18,regular,54218.0,
1883,2074187,Episode 2,38.0,2020-12-18,regular,54837.0,
1884,2200304,Are You Scared of the Holidays?,20.0,2020-12-18,regular,55983.0,
1885,2121008,Fatal Error,15.0,2020-12-18,regular,56139.0,
1886,2149149,The Last Goodbye,12.0,2020-12-18,regular,56848.0,
1887,2157407,Thangam,34.0,2020-12-18,regular,57213.0,
1888,2157408,Love Panna Uttranum,38.0,2020-12-18,regular,57213.0,
1889,2157409,Vaanmagal,38.0,2020-12-18,regular,57213.0,
1890,2157410,Oor Iravu,37.0,2020-12-18,regular,57213.0,
1891,2161828,How A Christmas Carol Perfectly Demonstrates Five-Act Structure,15.0,2020-12-18,regular,57350.0,
1892,2197286,"Save Dough, Make Dough",20.0,2020-12-18,regular,58367.0,
1893,2197308,Less Stress Holidays,20.0,2020-12-18,regular,58367.0,
1894,2298661,The Final Race,22.0,2020-12-18,regular,61140.0,
1895,1991538,Fábio Jr.,,2020-12-18,regular,36813.0,
1896,1993457,Episódio Especial,10.0,2020-12-18,regular,49024.0,
1897,1984684,Episode 84,5.0,2020-12-18,regular,52250.0,
1898,1968563,Shapeshifters Anonymous,60.0,2020-12-18,significant_special,37790.0,6.1
1899,2215236,Andy Haynes - Do You Remember the First Night of Quarantine?,,2020-12-18,regular,40862.0,
1900,1976233,Julemåltid,60.0,2020-12-18,regular,49903.0,
1901,2168997,Crime of the Century: Lindbergh Kidnapper Brought to Justice,11.0,2020-12-18,regular,57491.0,
1902,2341526,Alien Mindfuck,30.0,2020-12-18,regular,62418.0,
1903,1965178,Mad About Yuletide,50.0,2020-12-18,regular,26796.0,9.5
1904,1984293,Holiday Extravaganza,24.0,2020-12-18,regular,43883.0,7.0
1905,1951741,205 Live #212,60.0,2020-12-18,regular,22536.0,
1906,1988862,Chanyeol's Episode 24,16.0,2020-12-19,regular,41648.0,
1907,1989501,"Папа, не горюй",19.0,2020-12-19,regular,10892.0,
