,Id Serie,Genero
135,48395.0,Supernatural
136,49652.0,Comedy
137,49652.0,Action
138,49652.0,Anime
139,49652.0,Fantasy
140,45713.0,Comedy
141,45713.0,Anime
142,45713.0,Science-Fiction
145,54637.0,Action
146,55919.0,Drama
147,55919.0,Comedy
148,55919.0,Children
149,58689.0,Drama
150,58689.0,Romance
157,33691.0,Music
159,57030.0,Comedy
160,57030.0,Children
163,57953.0,Music
164,28346.0,Comedy
165,33944.0,Music
166,40511.0,Travel
167,46139.0,Comedy
168,46409.0,Drama
169,46409.0,Comedy
170,46409.0,Romance
172,49147.0,War
173,49147.0,History
174,49353.0,War
175,49353.0,History
178,51749.0,Drama
179,51749.0,Anime
180,51749.0,Romance
183,51927.0,Science-Fiction
184,51927.0,Nature
221,52421.0,Drama
222,52421.0,Romance
227,57478.0,Children
230,52780.0,Comedy
231,52780.0,Fantasy
232,52780.0,Romance
236,44660.0,Sports
237,44675.0,Action
238,44675.0,Family
240,56531.0,Comedy
241,56531.0,Adventure
242,56531.0,Fantasy
245,51888.0,Drama
246,51888.0,Comedy
247,51888.0,Romance
248,45434.0,Comedy
249,45434.0,Children
250,45434.0,DIY
251,49732.0,Anime
252,49732.0,Supernatural
253,43722.0,Drama
254,43722.0,Comedy
255,49280.0,Drama
256,49280.0,Thriller
257,49422.0,Crime
258,49422.0,Mystery
259,51908.0,Drama
260,51908.0,Comedy
261,51908.0,Romance
269,38031.0,Comedy
270,38031.0,Action
271,38031.0,Adventure
272,38031.0,Anime
273,24837.0,Comedy
274,24837.0,Action
275,24837.0,Adventure
276,24837.0,Anime
277,47912.0,Drama
278,47912.0,Romance
279,47912.0,History
285,52799.0,Crime
286,52799.0,Science-Fiction
287,52799.0,Mystery
291,54610.0,Anime
292,54610.0,Fantasy
293,54610.0,Romance
294,57556.0,Action
295,57556.0,Anime
296,57556.0,Fantasy
301,44060.0,Drama
302,44060.0,Romance
307,53196.0,Drama
308,53196.0,Comedy
309,49948.0,Drama
310,49948.0,Comedy
311,49948.0,Romance
312,30889.0,Comedy
313,30889.0,Music
315,54658.0,Comedy
316,56605.0,Drama
317,53177.0,Comedy
319,36046.0,Legal
322,52758.0,Drama
323,52758.0,Comedy
324,52758.0,Romance
328,54515.0,Children
329,54515.0,Nature
330,57257.0,Drama
331,57257.0,Comedy
332,6141.0,Comedy
333,7480.0,Drama
334,7480.0,Adventure
335,7480.0,Science-Fiction
336,13215.0,Adventure
337,13215.0,Fantasy
338,28381.0,Comedy
339,36841.0,Food
340,42843.0,Comedy
341,42843.0,Thriller
342,42843.0,Mystery
347,50157.0,Drama
348,50157.0,Comedy
349,51149.0,Comedy
350,51149.0,Food
351,51393.0,Action
352,51393.0,Adventure
353,51393.0,Science-Fiction
354,51560.0,Drama
355,51560.0,Comedy
356,51560.0,Romance
361,51969.0,Drama
362,51969.0,Fantasy
363,51969.0,Romance
